userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-06-14 10:34:03,2019-06-14 12:21:57,22.632255,114.028572,0 days 01:47:54,4,10,22.632015666666664,114.028529
20,2019-06-14 13:02:36,2019-06-17 09:28:36,22.568857,113.895023,2 days 20:26:00,0,0,22.56868187804879,113.8951422764228
20,2019-06-17 09:48:57,2019-06-17 14:37:13,22.569058,113.895052,0 days 04:48:16,0,0,22.56868187804879,113.8951422764228
20,2019-06-17 15:02:53,2019-06-17 15:24:13,22.610363,113.845353,0 days 00:21:20,0,-1,22.610363,113.845353
20,2019-06-17 15:46:33,2019-06-17 16:22:32,22.580077,113.898702,0 days 00:35:59,0,-1,22.580077,113.898702
20,2019-06-17 16:34:47,2019-06-17 20:11:06,22.569038,113.8949,0 days 03:36:19,0,0,22.56868187804879,113.8951422764228
20,2019-06-17 21:12:08,2019-06-18 08:11:30,22.578452,113.860088,0 days 10:59:22,1,-1,22.578452,113.860088
20,2019-06-18 08:35:21,2019-06-19 12:47:46,22.568923,113.894918,1 days 04:12:25,2,0,22.56868187804879,113.8951422764228
20,2019-06-19 13:09:10,2019-06-19 14:24:11,22.53873,114.055108,0 days 01:15:01,2,-1,22.53873,114.055108
20,2019-06-19 14:36:41,2019-06-19 15:09:07,22.568432,114.03621,0 days 00:32:26,2,-1,22.568432,114.03621
20,2019-06-19 15:42:09,2019-06-19 17:35:46,22.56649,113.895722,0 days 01:53:37,2,0,22.56868187804879,113.8951422764228
20,2019-06-19 17:47:05,2019-06-20 09:22:28,22.61972,113.85441000000002,0 days 15:35:23,3,5,22.619715499999998,113.85443625
20,2019-06-20 09:48:16,2019-06-21 09:22:02,22.567392,113.895505,0 days 23:33:46,4,0,22.56868187804879,113.8951422764228
20,2019-06-21 09:36:03,2019-06-22 12:25:47,22.568908,113.895138,1 days 02:49:44,5,0,22.56868187804879,113.8951422764228
20,2019-06-22 13:05:42,2019-06-22 13:30:10,22.490248,113.921592,0 days 00:24:28,5,-1,22.490248,113.921592
20,2019-06-22 14:22:21,2019-06-22 16:17:01,22.568903,113.895188,0 days 01:54:40,5,0,22.56868187804879,113.8951422764228
20,2019-06-22 18:29:44,2019-06-24 09:33:27,22.570937,113.864103,1 days 15:03:43,0,1,22.570867200000006,113.8639100727273
20,2019-06-24 09:50:01,2019-06-24 19:24:17,22.568927,113.89502,0 days 09:34:16,0,0,22.56868187804879,113.8951422764228
20,2019-06-24 20:00:11,2019-06-25 09:23:03,22.601142000000007,113.842855,0 days 13:22:52,1,-1,22.601142000000007,113.842855
20,2019-06-25 09:46:56,2019-06-25 16:20:51,22.569117,113.895212,0 days 06:33:55,1,0,22.56868187804879,113.8951422764228
20,2019-06-25 16:37:41,2019-06-25 19:04:52,22.574837,113.868423,0 days 02:27:11,1,-1,22.574837,113.868423
20,2019-06-25 19:24:04,2019-06-26 11:00:39,22.564695,113.90313799999998,0 days 15:36:35,2,7,22.56458275,113.90282049999999
20,2019-06-26 12:07:11,2019-06-26 13:23:56,22.570947,113.86393,0 days 01:16:45,2,1,22.570867200000006,113.8639100727273
20,2019-06-26 13:39:16,2019-06-27 09:35:29,22.568807,113.895233,0 days 19:56:13,3,0,22.56868187804879,113.8951422764228
20,2019-06-27 09:50:40,2019-06-28 09:17:17,22.569048,113.89499,0 days 23:26:37,4,0,22.56868187804879,113.8951422764228
20,2019-06-28 09:46:35,2019-06-28 17:48:24,22.569058,113.89503,0 days 08:01:49,4,0,22.56868187804879,113.8951422764228
